start_node,end_node,distance,route_id,route_short_name
stop502,stop2079,115.098482,route2580,walking
stop502,stop386,350.1588328,route2577,walking
stop502,stop387,332.1690448,route2578,walking
stop502,stop503,12.07417614,route2579,walking
stop503,stop2079,127.0516323,route2584,walking
stop503,stop386,349.7047177,route2581,walking
stop503,stop387,332.6356928,route2582,walking
stop503,stop502,12.07417614,route2583,walking
stop504,stop1215,319.4020942,route2594,walking
stop504,stop1216,313.2098507,route2595,walking
stop504,stop2757,226.2053688,route2596,walking
stop504,stop505,355.7741619,route2585,walking
stop504,stop506,143.4565242,route2586,walking
stop504,stop507,10.22993325,route2587,walking
stop504,stop508,377.5446718,route2588,walking
stop504,stop509,342.2293084,route2589,walking
stop504,stop510,363.0057861,route2590,walking
stop504,stop513,388.5228116,route2591,walking
stop504,stop514,397.5844744,route2592,walking
stop504,stop515,159.5959987,route2593,walking
stop505,stop2757,353.447159,route2608,walking
stop505,stop504,355.7741619,route2597,walking
stop505,stop506,219.7802096,route2598,walking
stop505,stop507,357.7381181,route2599,walking
stop505,stop508,22.6748448,route2600,walking
stop505,stop509,51.34585571,route2601,walking
stop505,stop510,68.60814815,route2602,walking
stop505,stop511,195.947732,route2603,walking
stop505,stop512,188.6508534,route2604,walking
stop505,stop513,316.8635395,route2605,walking
stop505,stop514,320.0424934,route2606,walking
stop505,stop689,392.6249002,route2607,walking
stop506,stop1215,387.6953353,route2620,walking
stop506,stop1216,378.5545254,route2621,walking
stop506,stop2757,189.3034077,route2622,walking
stop506,stop504,143.4565242,route2609,walking
stop506,stop505,219.7802096,route2610,walking
stop506,stop507,143.0753429,route2611,walking
stop506,stop508,240.3489019,route2612,walking
stop506,stop509,200.2590603,route2613,walking
stop506,stop510,220.0028813,route2614,walking
stop506,stop511,361.9093086,route2615,walking
stop506,stop512,360.8060579,route2616,walking
stop506,stop513,284.6462856,route2617,walking
stop506,stop514,292.8134961,route2618,walking
stop506,stop515,301.111151,route2619,walking
stop507,stop1215,329.3611808,route2632,walking
stop507,stop1216,323.2330434,route2633,walking
stop507,stop2757,217.3525934,route2634,walking
stop507,stop504,10.22993325,route2623,walking
stop507,stop505,357.7381181,route2624,walking
stop507,stop506,143.0753429,route2625,walking
stop507,stop508,379.3269635,route2626,walking
stop507,stop509,342.7605526,route2627,walking
stop507,stop510,363.0369524,route2628,walking
stop507,stop513,382.042137,route2629,walking
stop507,stop514,391.1376073,route2630,walking
stop507,stop515,158.3508886,route2631,walking
stop508,stop2757,367.2532637,route2647,walking
stop508,stop504,377.5446718,route2635,walking
stop508,stop505,22.6748448,route2636,walking
stop508,stop506,240.3489019,route2637,walking
stop508,stop507,379.3269635,route2638,walking
stop508,stop509,57.05807633,route2639,walking
stop508,stop510,65.5377493,route2640,walking
stop508,stop511,195.3493845,route2641,walking
stop508,stop512,186.9183163,route2642,walking
stop508,stop513,318.8425876,route2643,walking
stop508,stop514,321.4002385,route2644,walking
stop508,stop688,377.9887668,route2645,walking
stop508,stop689,370.1128904,route2646,walking
stop509,stop2757,311.9080545,route2659,walking
stop509,stop504,342.2293084,route2648,walking
stop509,stop505,51.34585571,route2649,walking
stop509,stop506,200.2590603,route2650,walking
stop509,stop507,342.7605526,route2651,walking
stop509,stop508,57.05807633,route2652,walking
stop509,stop510,26.80964408,route2653,walking
stop509,stop511,247.2623865,route2654,walking
stop509,stop512,239.8280467,route2655,walking
stop509,stop513,265.5190398,route2656,walking
stop509,stop514,268.709561,route2657,walking
stop509,stop689,392.3259436,route2658,walking
stop51,stop50,16.37932662,route1032,walking
stop510,stop2757,317.3353284,route2672,walking
stop510,stop504,363.0057861,route2660,walking
stop510,stop505,68.60814815,route2661,walking
stop510,stop506,220.0028813,route2662,walking
stop510,stop507,363.0369524,route2663,walking
stop510,stop508,65.5377493,route2664,walking
stop510,stop509,26.80964408,route2665,walking
stop510,stop511,260.7801738,route2666,walking
stop510,stop512,252.447934,route2667,walking
stop510,stop513,253.6271887,route2668,walking
stop510,stop514,256.0143373,route2669,walking
stop510,stop688,378.086767,route2670,walking
stop510,stop689,370.0830488,route2671,walking
stop511,stop505,195.947732,route2673,walking
stop511,stop506,361.9093086,route2674,walking
stop511,stop508,195.3493845,route2675,walking
stop511,stop509,247.2623865,route2676,walking
stop511,stop510,260.7801738,route2677,walking
stop511,stop512,12.41866465,route2678,walking
stop512,stop505,188.6508534,route2679,walking
stop512,stop506,360.8060579,route2680,walking
stop512,stop508,186.9183163,route2681,walking
stop512,stop509,239.8280467,route2682,walking
stop512,stop510,252.447934,route2683,walking
stop512,stop511,12.41866465,route2684,walking
stop513,stop2757,194.1127564,route2693,walking
stop513,stop504,388.5228116,route2685,walking
stop513,stop505,316.8635395,route2686,walking
stop513,stop506,284.6462856,route2687,walking
stop513,stop507,382.042137,route2688,walking
stop513,stop508,318.8425876,route2689,walking
stop513,stop509,265.5190398,route2690,walking
stop513,stop510,253.6271887,route2691,walking
stop513,stop514,9.229888622,route2692,walking
stop514,stop2757,203.1088411,route2703,walking
stop514,stop504,397.5844744,route2694,walking
stop514,stop505,320.0424934,route2695,walking
stop514,stop506,292.8134961,route2696,walking
stop514,stop507,391.1376073,route2697,walking
stop514,stop508,321.4002385,route2698,walking
stop514,stop509,268.709561,route2699,walking
stop514,stop510,256.0143373,route2700,walking
stop514,stop513,9.229888622,route2701,walking
stop514,stop610,396.3893729,route2702,walking
stop515,stop1215,345.4047564,route2707,walking
stop515,stop1216,344.240694,route2708,walking
stop515,stop2757,319.4442205,route2709,walking
stop515,stop504,159.5959987,route2704,walking
stop515,stop506,301.111151,route2705,walking
stop515,stop507,158.3508886,route2706,walking
stop516,stop517,11.26291576,route2710,walking
stop517,stop516,11.26291576,route2711,walking
stop519,stop520,63.15881691,route2712,walking
stop52,stop2703,379.5845648,route1037,walking
stop52,stop2704,379.4041008,route1038,walking
stop52,stop53,15.03409147,route1033,walking
stop52,stop586,350.4356747,route1034,walking
stop52,stop587,351.5836884,route1035,walking
stop52,stop825,288.1134148,route1036,walking
stop520,stop519,63.15881691,route2713,walking
stop521,stop1391,225.9496916,route2715,walking
stop521,stop1684,226.3693592,route2716,walking
stop521,stop522,12.51655728,route2714,walking
stop522,stop1391,227.6153945,route2718,walking
stop522,stop1684,226.4900882,route2719,walking
stop522,stop521,12.51655728,route2717,walking
stop523,stop524,15.17362532,route2720,walking
stop524,stop523,15.17362532,route2721,walking
stop526,stop527,113.178045,route2722,walking
stop527,stop526,113.178045,route2723,walking
stop528,stop1008,332.9727845,route2725,walking
stop528,stop1836,381.0950752,route2726,walking
stop528,stop529,62.54205587,route2724,walking
stop529,stop1008,367.4205449,route2728,walking
stop529,stop1835,397.5838448,route2729,walking
stop529,stop1836,330.2540005,route2730,walking
stop529,stop1837,368.5686065,route2731,walking
stop529,stop1838,386.7172423,route2732,walking
stop529,stop528,62.54205587,route2727,walking
stop53,stop2703,373.7341602,route1043,walking
stop53,stop2704,374.0077343,route1044,walking
stop53,stop52,15.03409147,route1039,walking
stop53,stop586,364.905826,route1040,walking
stop53,stop587,366.1437153,route1041,walking
stop53,stop825,275.1741147,route1042,walking
stop530,stop531,10.62416305,route2733,walking
stop531,stop530,10.62416305,route2734,walking
stop532,stop533,15.89233144,route2735,walking
stop533,stop532,15.89233144,route2736,walking
stop535,stop536,10.85205567,route2737,walking
stop536,stop535,10.85205567,route2738,walking
stop537,stop1368,317.5772132,route2739,walking
stop537,stop1369,317.3756793,route2740,walking
stop538,stop539,23.52292753,route2741,walking
stop539,stop538,23.52292753,route2742,walking
stop54,stop55,19.68498859,route1045,walking
stop54,stop66,323.7890083,route1046,walking
stop540,stop2274,252.3825143,route2745,walking
stop540,stop2275,251.5467877,route2746,walking
stop540,stop541,24.10498858,route2744,walking
stop540,stop6,374.9598932,route2743,walking
stop541,stop2274,254.7285323,route2749,walking
stop541,stop2275,251.5877395,route2750,walking
stop541,stop540,24.10498858,route2748,walking
stop541,stop6,379.2684259,route2747,walking
stop542,stop2003,142.3259283,route2751,walking
stop542,stop2004,83.12079337,route2752,walking
stop542,stop2634,383.5731129,route2753,walking
stop543,stop544,12.27216648,route2754,walking
stop544,stop543,12.27216648,route2755,walking
stop546,stop2638,351.4126612,route2757,walking
stop546,stop2639,352.6104005,route2758,walking
stop546,stop547,9.195998313,route2756,walking
stop547,stop2638,351.7565156,route2760,walking
stop547,stop2639,352.7068832,route2761,walking
stop547,stop546,9.195998313,route2759,walking
stop548,stop2634,175.5797113,route2762,walking
stop549,stop550,14.41798622,route2763,walking
stop55,stop54,19.68498859,route1047,walking
stop55,stop66,342.2817569,route1048,walking
stop550,stop549,14.41798622,route2764,walking
stop551,stop1918,379.6560496,route2767,walking
stop551,stop552,10.94278016,route2765,walking
stop551,stop555,381.5083645,route2766,walking
stop552,stop1918,390.3189665,route2770,walking
stop552,stop551,10.94278016,route2768,walking
stop552,stop555,379.3987652,route2769,walking
stop553,stop2742,66.86030272,route2771,walking
